Anno,Radio (a),TV - Uso privato
1936,697062.0,
1937,825732.0,
1938,965577.0,
1939,1130540.0,
1940,1329723.0,
1941,1638317.0,
1942,1827950.0,
1943,1784246.0,
1944,1608247.0,
1945,1646466.0,
1946,1850479.0,
1947,2011454.0,
1948,2204580.0,
1949,2566258.0,
1950,3135195.0,
1951,3682588.0,
1952,4227609.0,
1953,4800170.0,
1954,5391274.0,72539.0
1955,5636802.0,149819.0
1956,5862226.0,313125.0
1957,6009390.0,609309.0
1958,6041863.0,1031348.0
1959,6014238.0,1515730.0
1960,5881823.0,2103638.0
1961,5726122.0,2756234.0
1962,5579574.0,3484711.0
1963,5279316.0,4343776.0
1964,4886496.0,5281825.0
1965,4570501.0,6078934.0
1966,4196187.0,6901729.0
1967,3844488.0,7725738.0
1968,2553413.0,8470301.0
1969,2196785.0,9178151.0
1970,1822676.0,9893679.0
1971,1506342.0,10559128.0
1972,1252791.0,11186821.0
1973,1021624.0,11720275.0
1974,824835.0,12164423.0
1975,714891.0,12415740.0
1976,647389.0,12677432.0
1977,611000.0,13027633.0
1978,532800.0,13337794.0
1979,464135.0,13637644.0
1980,420008.0,13911580.0
1981,402158.0,14005076.0
1982,377695.0,14158034.0
1983,381521.0,14310610.0
1984,368332.0,14392912.0
1985,322065.6666666667,14452439.0
1986,275799.3333333333,14534210.0
1987,229533.0,14614075.0
1988,184084.0,14641499.0
1989,157958.0,14773078.0
